Date,Price,Open,High,Low,Vol.,Change %
05/23/2022,8810,"9,150.00","9,350.00","8,600.00",14.92M,-2.00%
05/20/2022,8990,"8,640.00","9,110.00","8,600.00",20.47M,-0.44%
05/19/2022,9030,"8,740.00","9,190.00","8,730.00",9.47M,0.33%
05/18/2022,9000,"9,000.00","9,200.00","8,900.00",13.18M,4.53%
05/17/2022,8610,"8,050.00","8,610.00","7,970.00",10.50M,6.96%
05/16/2022,8050,"8,200.00","8,290.00","7,950.00",10.65M,3.74%
05/13/2022,7760,"8,310.00","8,500.00","7,760.00",21.90M,-6.95%
05/12/2022,8340,"8,800.00","8,900.00","8,340.00",10.90M,-6.92%
05/11/2022,8960,"9,100.00","9,140.00","8,780.00",8.52M,-1.10%
05/10/2022,9060,"8,250.00","9,190.00","8,250.00",12.09M,3.54%
05/09/2022,8750,"9,300.00","9,390.00","8,750.00",16.58M,-6.91%
05/06/2022,9400,"9,600.00","9,800.00","9,400.00",10.00M,-5.91%
05/05/2022,9990,"10,050.00","10,100.00","9,530.00",11.01M,0.71%
05/04/2022,9920,"10,300.00","10,300.00","9,900.00",10.51M,-2.75%
04/29/2022,10200,"10,000.00","10,300.00","9,900.00",13.83M,1.49%
04/28/2022,10050,"10,200.00","10,450.00","10,000.00",8.72M,-1.47%
04/27/2022,10200,"9,800.00","10,200.00","9,500.00",14.34M,4.72%
04/26/2022,9740,"8,900.00","9,740.00","8,600.00",16.60M,6.80%
04/25/2022,9120,"9,900.00","10,150.00","9,120.00",18.29M,-6.94%
04/22/2022,9800,"10,150.00","10,450.00","9,630.00",13.75M,-2.97%
04/21/2022,10100,"9,550.00","10,500.00","9,400.00",23.91M,0.00%
04/20/2022,10100,"10,650.00","10,950.00","10,100.00",22.46M,-6.91%
04/19/2022,10850,"11,500.00","11,800.00","10,850.00",15.61M,-6.47%
04/18/2022,11600,"12,000.00","12,150.00","11,350.00",14.37M,-3.73%
04/15/2022,12050,"11,600.00","12,050.00","11,550.00",25.17M,6.64%
04/14/2022,11300,"12,150.00","12,150.00","11,300.00",21.22M,-7.00%
04/13/2022,12150,"11,550.00","12,150.00","11,100.00",16.04M,5.19%
04/12/2022,11550,"12,500.00","12,650.00","11,550.00",23.10M,-6.85%
04/08/2022,12400,"13,350.00","13,450.00","12,400.00",41.77M,-6.77%
04/07/2022,13300,"13,300.00","13,450.00","13,100.00",11.94M,0.38%
04/06/2022,13250,"13,100.00","13,550.00","13,050.00",15.54M,0.38%
04/05/2022,13200,"13,350.00","13,450.00","13,100.00",10.26M,-1.12%
04/04/2022,13350,"13,400.00","13,650.00","13,200.00",12.86M,1.52%
04/01/2022,13150,"12,900.00","13,300.00","12,750.00",19.11M,0.38%
03/31/2022,13100,"13,850.00","13,850.00","13,100.00",21.00M,-4.03%
03/30/2022,13650,"13,200.00","14,150.00","13,200.00",36.49M,1.87%
03/29/2022,13400,"13,300.00","13,500.00","13,000.00",15.91M,0.75%
03/28/2022,13300,"12,800.00","13,500.00","12,300.00",41.27M,1.14%
03/25/2022,13150,"13,300.00","13,600.00","13,100.00",22.59M,-1.50%
03/24/2022,13350,"13,000.00","13,800.00","13,000.00",26.82M,1.52%
03/23/2022,13150,"13,450.00","13,500.00","13,050.00",20.58M,0.00%
03/22/2022,13150,"12,300.00","13,150.00","12,150.00",45.15M,6.91%
03/21/2022,12300,"12,300.00","12,450.00","12,050.00",23.11M,2.93%
03/18/2022,11950,"12,150.00","12,400.00","11,900.00",11.24M,-1.24%
03/17/2022,12100,"11,500.00","12,300.00","11,450.00",27.22M,5.22%
03/16/2022,11500,"11,800.00","12,000.00","11,500.00",20.76M,-2.13%
03/15/2022,11750,"11,750.00","12,050.00","11,550.00",14.96M,0.43%
03/14/2022,11700,"12,100.00","12,500.00","11,700.00",20.62M,-5.65%
03/11/2022,12400,"12,150.00","12,750.00","12,100.00",28.39M,2.06%
03/10/2022,12150,"12,150.00","12,450.00","11,950.00",18.38M,1.67%
03/09/2022,11950,"11,750.00","12,250.00","11,000.00",33.98M,2.14%
03/08/2022,11700,"12,300.00","12,500.00","11,700.00",21.82M,-6.40%
03/07/2022,12500,"12,100.00","12,650.00","11,800.00",21.11M,5.04%
03/04/2022,11900,"11,000.00","11,900.00","11,000.00",35.34M,6.73%
03/03/2022,11150,"11,350.00","11,500.00","11,000.00",15.82M,-0.89%
03/02/2022,11250,"11,700.00","11,700.00","11,200.00",23.85M,2.74%
