Date,Price,Open,High,Low,Vol.,Change %
1/14/19,7055.6,7074.2,7111.2,6981.6,3.10M,-0.26%
1/15/19,7129.7,7055.6,7166.7,7037.1,3.16M,1.05%
1/16/19,7351.9,7148.2,7389.0,7148.2,10.70M,3.12%
1/17/19,7037.1,7333.4,7370.5,7037.1,3.83M,-4.28%
1/18/19,7129.7,7148.2,7222.3,7092.7,4.52M,1.32%
1/21/19,7407.5,7148.2,7481.6,7148.2,6.83M,3.90%
1/22/19,7277.9,7407.5,7537.1,7277.9,6.16M,-1.75%
1/23/19,7370.5,7240.8,7389.0,7240.8,3.82M,1.27%
1/24/19,7481.6,7370.5,7481.6,7296.4,5.56M,1.51%
1/25/19,7426,7444.5,7518.6,7370.5,3.65M,-0.74%
1/28/19,7296.4,7426.0,7463.0,7222.3,3.82M,-1.75%
1/29/19,7407.5,7296.4,7407.5,7203.8,4.33M,1.52%
1/30/19,7370.5,7426.0,7463.0,7351.9,3.49M,-0.50%
1/31/19,7481.6,7426.0,7537.1,7426.0,6.44M,1.51%
2/1/19,7426,7481.6,7518.6,7333.4,8.67M,-0.74%
2/11/19,7851.9,7463.0,7851.9,7463.0,8.61M,5.74%
2/12/19,7907.5,7926.0,7981.6,7833.4,10.75M,0.71%
2/13/19,7963.1,7926.0,8037.1,7907.5,9.29M,0.70%
2/14/19,7870.5,7963.1,7981.6,7851.9,6.21M,-1.16%
2/15/19,7870.5,7851.9,7963.1,7740.8,7.61M,0.00%
2/18/19,7963.1,7926.0,8018.6,7907.5,4.41M,1.18%
2/19/19,7851.9,8037.1,8074.2,7851.9,8.10M,-1.40%
2/20/19,7833.4,7833.4,7926.0,7740.8,5.87M,-0.24%
2/21/19,7926,7889.0,7926.0,7740.8,6.89M,1.18%
2/22/19,7907.5,7833.4,8018.6,7814.9,7.45M,-0.23%
2/25/19,7963.1,8037.1,8074.2,7944.5,6.76M,0.70%
2/26/19,7889,7926.0,8018.6,7814.9,7.79M,-0.93%
2/27/19,7851.9,7851.9,7907.5,7814.9,4.34M,-0.47%
2/28/19,7666.8,7851.9,7851.9,7629.7,7.48M,-2.36%
3/1/19,7740.8,7666.8,7740.8,7629.7,5.93M,0.97%
3/4/19,7926,7740.8,8000.1,7740.8,8.34M,2.39%
3/5/19,7926,7907.5,8037.1,7870.5,9.79M,0.00%
3/6/19,7889,7926.0,7944.5,7833.4,3.81M,-0.47%
3/7/19,7889,7889.0,7981.6,7851.9,7.24M,0.00%
3/8/19,7796.4,7814.9,7870.5,7740.8,7.49M,-1.17%
3/11/19,7814.9,7796.4,7851.9,7759.3,2.16M,0.24%
3/12/19,7963.1,7851.9,7963.1,7759.3,6.92M,1.90%
3/13/19,8148.2,8055.6,8185.3,8037.1,12.17M,2.32%
3/14/19,8037.1,8129.7,8148.2,8037.1,4.43M,-1.36%
3/15/19,8074.2,8037.1,8074.2,7981.6,4.65M,0.46%
3/18/19,8333.4,8111.2,8333.4,8092.7,12.10M,3.21%
3/19/19,8111.2,8333.4,8333.4,8092.7,4.56M,-2.67%
3/20/19,8055.6,8092.7,8111.2,7963.1,5.86M,-0.69%
3/21/19,7777.9,8055.6,8092.7,7777.9,8.53M,-3.45%
3/22/19,7777.9,7870.5,7870.5,7722.3,6.73M,0.00%
3/25/19,7481.6,7500.1,7629.7,7407.5,9.18M,-3.81%
3/26/19,7481.6,7518.6,7592.7,7481.6,4.43M,0.00%
3/27/19,7666.8,7518.6,7666.8,7463.0,5.57M,2.48%
