"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2022","102,200","106,400","106,400","102,200","3.11M","-2.20%"
"01/06/2022","104,500","101,000","106,400","100,500","5.06M","4.50%"
"01/05/2022","100,000","100,800","102,200","99,500","3.40M","-0.99%"
"01/04/2022","101,000","96,000","101,500","95,700","3.07M","6.20%"
"12/31/2021","95,100","95,200","96,300","94,200","1.27M","0.11%"
"12/30/2021","95,000","95,800","96,400","95,000","1.66M","-0.52%"
"12/29/2021","95,500","98,000","98,000","95,200","2.29M","-2.95%"
"12/28/2021","98,400","99,100","99,300","96,500","1.74M","-0.61%"
"12/27/2021","99,000","97,000","99,000","96,500","1.91M","2.59%"
"12/24/2021","96,500","96,500","96,900","95,100","1.42M","0.52%"
"12/23/2021","96,000","99,600","100,000","96,000","2.77M","-3.61%"
"12/22/2021","99,600","98,200","100,100","98,200","2.41M","1.53%"
"12/21/2021","98,100","99,000","100,800","98,100","1.47M","-0.91%"
"12/20/2021","99,000","102,000","102,000","99,000","1.37M","-2.94%"
"12/17/2021","102,000","100,000","102,700","98,800","6.66M","2.00%"
"12/16/2021","100,000","100,000","101,500","98,300","3.10M","0.00%"
"12/15/2021","100,000","102,700","102,700","99,900","2.90M","-2.44%"
"12/14/2021","102,500","103,000","103,100","101,600","2.63M","-0.68%"
"12/13/2021","103,200","102,700","104,500","101,000","4.08M","0.10%"
"12/10/2021","103,100","107,000","107,200","103,100","3.08M","-3.64%"
"12/09/2021","107,000","105,000","107,500","104,000","3.17M","1.04%"
"12/08/2021","105,900","106,500","107,000","103,500","3.54M","-0.75%"
"12/07/2021","106,700","107,400","107,500","105,600","3.03M","1.04%"
"12/06/2021","105,600","107,900","109,000","103,600","5.83M","0.09%"
"12/03/2021","105,500","109,100","109,600","105,500","5.15M","-1.59%"
"12/02/2021","107,200","106,000","108,500","105,100","4.43M","1.13%"
"12/01/2021","106,000","105,000","107,300","104,000","4.08M","0.95%"
"11/30/2021","105,000","105,500","106,900","103,500","4.67M","-0.28%"
"11/29/2021","105,300","99,000","105,300","98,500","8.74M","6.90%"
"11/26/2021","98,500","95,900","100,000","95,200","8.68M","4.79%"
"11/25/2021","94,000","94,800","94,800","93,800","1.40M","-0.11%"
"11/24/2021","94,100","94,800","95,200","93,500","2.05M","-0.74%"
"11/23/2021","94,800","94,000","95,000","93,500","1.38M","0.00%"
"11/22/2021","94,800","94,500","95,000","93,000","2.15M","0.00%"
"11/19/2021","94,800","94,600","96,000","94,000","2.03M","0.32%"
"11/18/2021","94,500","97,000","98,500","94,500","3.87M","-1.87%"
"11/17/2021","96,300","94,700","97,000","94,200","2.82M","1.58%"
"11/16/2021","94,800","95,000","95,100","93,900","1.64M","-0.21%"
"11/15/2021","95,000","94,500","95,100","94,000","1.92M","0.53%"
"11/12/2021","94,500","94,800","94,800","93,900","1.13M","-0.32%"
"11/11/2021","94,800","94,900","95,000","93,900","2.19M","-0.11%"
"11/10/2021","94,900","95,100","95,200","93,600","1.68M","0.00%"
"11/09/2021","94,900","95,400","95,400","93,200","2.37M","0.00%"
"11/08/2021","94,900","95,000","95,500","94,500","1.79M","-0.11%"
"11/05/2021","95,000","94,500","95,000","94,000","1.79M","0.00%"
"11/04/2021","95,000","95,200","95,500","94,000","1.88M","-0.31%"
"11/03/2021","95,300","95,800","95,800","93,900","3.57M","-0.52%"
"11/02/2021","95,800","95,700","96,000","94,900","1.65M","0.00%"
"11/01/2021","95,800","95,800","96,000","94,900","2.23M","0.00%"
"10/29/2021","95,800","94,200","96,500","94,200","2.27M","0.84%"
"10/28/2021","95,000","95,000","95,400","93,600","2.09M","0.00%"
"10/27/2021","95,000","92,000","95,000","91,600","3.91M","3.04%"
"10/26/2021","92,200","91,800","92,200","90,900","1.34M","0.11%"
"10/25/2021","92,100","91,900","92,500","91,200","1.34M","0.33%"
"10/22/2021","91,800","91,000","91,800","90,800","1.43M","0.88%"
"10/21/2021","91,000","91,700","92,600","91,000","2.85M","-1.41%"
"10/20/2021","92,300","92,300","92,500","89,900","3.13M","-0.11%"
"10/19/2021","92,400","92,600","92,700","91,500","1.69M","-0.22%"
"10/18/2021","92,600","92,300","92,900","91,100","2.04M","0.00%"
"10/15/2021","92,600","92,500","93,000","92,000","1.55M","0.11%"
"10/14/2021","92,500","93,200","93,200","91,500","2.68M","-0.64%"
"10/13/2021","93,100","93,000","93,800","92,800","2.58M","0.22%"
"10/12/2021","92,900","92,000","93,000","92,000","2.44M","1.09%"
"10/11/2021","91,900","89,400","92,000","89,400","2.69M","2.91%"
"10/08/2021","89,300","89,000","89,500","88,800","1.30M","0.56%"
"10/07/2021","88,800","88,300","89,500","88,300","2.29M","0.23%"
"10/06/2021","88,600","88,800","89,000","88,100","1.74M","0.00%"
"10/05/2021","88,600","87,800","88,800","87,100","2.37M","0.91%"
"10/04/2021","87,800","87,600","88,000","87,100","1.57M","0.11%"
"10/01/2021","87,700","88,000","88,400","87,200","1.73M","-0.34%"
"09/30/2021","88,000","86,500","89,400","86,500","3.40M","1.50%"
"09/29/2021","86,700","86,700","86,900","86,000","1.91M","0.23%"
"09/28/2021","86,500","85,300","87,000","85,200","2.39M","0.46%"
"09/27/2021","86,100","87,000","87,500","83,200","3.00M","-1.03%"
"09/24/2021","87,000","87,100","87,500","86,300","3.21M","-0.11%"
"09/23/2021","87,100","86,500","87,400","86,400","2.66M","1.16%"
"09/22/2021","86,100","85,600","86,900","85,400","2.85M","0.58%"
"09/21/2021","85,600","85,500","86,400","85,000","4.52M","-1.27%"
"09/20/2021","86,700","87,000","88,900","86,000","4.01M","-0.12%"
"09/17/2021","86,800","88,000","89,200","86,800","5.57M","-1.14%"
"09/16/2021","87,800","91,400","91,400","87,800","15.13M","-3.94%"
"09/15/2021","91,400","92,000","92,400","91,300","1.04M","-0.65%"
"09/14/2021","92,000","92,300","92,900","91,900","1.42M","0.00%"
"09/13/2021","92,000","91,800","93,400","91,600","1.83M","0.77%"
"09/10/2021","91,300","91,800","92,000","91,300","1.61M","0.00%"
"09/09/2021","91,300","92,200","92,400","91,300","2.70M","-0.76%"
"09/08/2021","92,000","94,000","94,300","92,000","2.51M","-2.02%"
"09/07/2021","93,900","95,500","95,500","93,900","2.28M","-1.16%"
"09/06/2021","95,000","94,400","95,800","94,200","1.93M","0.96%"
"09/01/2021","94,100","94,100","95,000","94,100","1.30M","0.00%"
"08/31/2021","94,100","94,100","95,100","93,800","1.53M","0.00%"
"08/30/2021","94,100","95,000","95,300","94,100","1.41M","-0.74%"
"08/27/2021","94,800","93,000","95,000","91,500","2.49M","1.83%"
"08/26/2021","93,100","94,600","94,600","93,000","1.77M","-1.59%"
"08/25/2021","94,600","95,400","95,400","93,000","2.06M","-0.84%"
"08/24/2021","95,400","96,400","97,000","95,100","1.42M","-0.83%"
"08/23/2021","96,200","97,500","97,700","95,800","2.16M","-1.54%"
"08/20/2021","97,700","100,000","102,000","97,200","4.95M","-6.06%"
"08/19/2021","104,000","97,900","104,000","96,700","3.52M","6.23%"
"08/18/2021","97,900","99,000","100,200","97,900","2.30M","-1.01%"
"08/17/2021","98,900","100,000","103,400","98,900","4.89M","0.60%"
"08/16/2021","98,311","99,556","100,178","98,311","3.47M","-0.27%"
"08/13/2021","98,578","99,111","99,733","98,222","2.38M","-0.18%"
"08/12/2021","98,756","98,667","100,356","98,222","2.06M","0.09%"
"08/11/2021","98,667","100,444","101,333","98,667","2.68M","-1.77%"
"08/10/2021","100,444","102,222","102,222","100,444","3.18M","-0.09%"
"08/09/2021","100,533","100,622","101,067","99,200","3.62M","-0.18%"
"08/06/2021","100,711","102,222","103,022","100,711","3.40M","-0.61%"
"08/05/2021","101,333","101,067","102,222","100,356","2.31M","0.00%"
"08/04/2021","101,333","102,667","103,467","101,333","3.24M","-0.44%"
"08/03/2021","101,778","97,244","102,222","96,889","8.20M","6.51%"
"08/02/2021","95,556","95,556","97,422","95,022","1.89M","0.28%"
"07/30/2021","95,289","95,111","95,378","94,222","2.63M","2.00%"
"07/29/2021","93,422","93,778","93,867","92,889","1.21M","-0.10%"
"07/28/2021","93,511","92,711","93,778","92,444","1.34M","0.86%"
"07/27/2021","92,711","93,333","94,044","92,711","1.62M","0.10%"
"07/26/2021","92,622","93,156","93,689","91,644","2.18M","0.19%"
"07/23/2021","92,444","94,400","96,711","92,444","3.47M","-2.07%"
"07/22/2021","94,400","92,444","94,933","92,178","2.52M","2.12%"
"07/21/2021","92,444","91,644","94,667","90,667","3.11M","0.97%"
"07/20/2021","91,556","91,200","91,822","88,889","2.40M","0.10%"
"07/19/2021","91,467","91,644","93,333","89,333","2.08M","-2.74%"
"07/16/2021","94,044","90,756","94,311","90,756","2.43M","3.72%"
"07/15/2021","90,667","91,556","92,178","89,956","2.91M","-0.97%"
"07/14/2021","91,556","91,556","94,578","90,667","2.91M","0.00%"
"07/13/2021","91,556","92,533","93,422","88,000","2.65M","-0.96%"
"07/12/2021","92,444","96,444","97,778","90,400","3.22M","-4.24%"
"07/09/2021","96,533","98,489","98,667","95,556","2.01M","-2.16%"
"07/08/2021","98,667","100,444","100,444","98,222","1.67M","-2.63%"
"07/07/2021","101,333","99,556","101,333","97,778","2.82M","1.78%"
"07/06/2021","99,556","102,222","103,111","99,556","3.38M","-2.61%"
"07/05/2021","102,222","104,444","104,444","102,133","3.11M","-2.13%"
"07/02/2021","104,444","104,978","105,689","104,444","2.01M","-0.93%"
"07/01/2021","105,422","106,400","106,578","105,333","2.47M","-0.34%"
"06/30/2021","105,778","104,889","108,000","104,889","3.02M","0.85%"
"06/29/2021","104,889","103,911","106,044","103,911","2.63M","1.11%"
"06/28/2021","103,733","104,444","104,533","103,733","1.92M","-0.68%"
"06/25/2021","104,444","104,178","104,889","103,733","1.98M","0.00%"
"06/24/2021","104,444","104,800","105,067","103,822","1.55M","0.51%"
